,Geo id,Shape area hectares,Country,GFC Tree Cover 2020,ESRI Trees 2020,JAXA Forest non forest 2020,GLAD LULC Stable Tree 2020,TMF undisturbed forest 2020,Primary Humid Tropical Forest 2020,TMF disturbed forest 2020,Local RADD alerts,TMF plantation,Oil palm Descals,FDaP palm plantations,Cocoa plantations Kalischek,Protected area,Other Effective area based Conservation Measure,Key Biodiversity Area
0,0520cfac98fbc1bd7952b1c07a9f6983b83625722b6f665ea83ac9aad3512918,8.3,Côte d'Ivoire,62,100,95,64,0,0,10,True,0,0,0,0,True,-,True
1,1a41a309ae2387f36a604c9a6c81887e64357a7f61d228758e23ef766286fcd7,2.0,Indonesia,0,100,85,99,0,0,13,-,0,0,4,0,-,-,-
2,1a4472dc40700ef33f931863f58d444f243d64418616678fcf85c57e1f4bbf45,12.8,Indonesia,83,100,100,99,60,0,39,-,0,0,68,0,-,-,-
3,88bec54ad04804f5b1fafbc131266640a129be2840fa6797cda358d7e831b907,1.9,Ghana,20,100,100,88,0,0,34,-,0,0,0,0,-,-,-
4,8e2accea7ddbb84b7f6001e00bcb60f57f563c80633b53859993522a6f05727a,21.0,Indonesia,53,100,96,98,31,0,67,-,0,0,51,0,-,-,-
5,97408ef7bdac487e4a42e4abf20492b786310889fd4b0478603e2d0004c40bfb,16.7,Ghana,100,100,100,89,95,87,5,True,0,0,0,0,True,-,-
6,b7c15efb6e3c63fcfe649a2d994973a6f5caa844f720f0edb7cf24f6a6c3c1b3,3.8,Côte d'Ivoire,70,100,99,90,0,0,74,-,0,0,0,0,-,-,-
7,b84f55de2b7f3c77d1cbeb8b026a1b29be42d8b08d92058c9143e0556456820f,2.0,Côte d'Ivoire,78,100,73,55,0,0,23,True,0,0,0,73,True,-,-
8,c288d6c94efa9011c0e3452af9f7fa0941661377030e10d29c68764617f9816d,31.4,Indonesia,0,6,5,83,0,0,0,-,100,98,82,0,-,-,-
9,ef2f7c46fbe4fc892fdb81f9a31c9c507b9f1e4548504247dcbbab28cf8e436c,4.2,Ghana,35,100,99,63,5,0,83,-,0,0,0,0,-,-,-
10,fa2aff0d60cf1bc0e1f1dd4b91daf932940c31c021ca1b84f5b9445855eef02f,3.6,Côte d'Ivoire,44,100,99,99,0,0,6,-,0,0,0,0,-,-,-
